warren 1984 (unico trozo)
0lambda  nr       ni
0           T=272            T=268           T=253            T=213
1.995e2	1.8275	4.560e-2 1.8275  4.560e-2 1.8275  4.560e-2 1.8275  4.450e-2
2.113e2	1.8222  3.790e-2 1.8222  3.790e-2 1.8222  3.790e-2 1.8222  3.550e-2
2.239e2 1.8172  3.140e-2 1.8172  3.140e-2 1.8172  3.140e-2 1.8172  2.910e-2
2.371e2 1.8120  2.620e-2 1.8120  2.620e-2 1.8120  2.620e-2 1.8120  2.440e-2
2.512e2 1.8070  2.240e-2 1.8070  2.240e-2 1.8070  2.190e-2 1.8070  1.970e-2
2.661e2 1.8025  1.960e-2 1.8025  1.960e-2 1.8025  1.880e-2 1.8025  1.670e-2
2.818e2 1.7983  1.760e-2 1.7983  1.760e-2 1.7983  1.660e-2 1.7983  1.400e-2
2.985e2 1.7948  1.665e-2 1.7948  1.665e-2 1.7948  1.540e-2 1.7948  1.235e-2
3.162e2 1.7921  1.620e-2 1.7921  1.600e-2 1.7921  1.470e-2 1.7921  1.080e-2
3.548e2 1.7884  1.550e-2 1.7884  1.500e-2 1.7884  1.350e-2 1.7884  8.900e-3
3.981e2 1.7860  1.470e-2 1.7860  1.400e-2 1.7860  1.250e-2 1.7860  7.340e-3
4.467e2 1.7843  1.390e-2 1.7843  1.310e-2 1.7843  1.150e-2 1.7843  6.400e-3
5.012e2 1.7832  1.320e-2 1.7832  1.230e-2 1.7832  1.060e-2 1.7832  5.600e-3
5.623e2 1.7825  1.250e-2 1.7825  1.150e-2 1.7825  9.770e-3 1.7825  5.000e-3
6.310e2 1.7820  1.180e-2 1.7820  1.080e-2 1.7820  9.010e-3 1.7820  4.520e-3
7.943e2 1.7817  1.060e-2 1.7817  9.460e-3 1.7816  7.660e-3 1.7815  3.680e-3
1.000e3 1.7816  9.540e-3 1.7816  8.290e-3 1.7814  6.520e-3 1.7807  2.990e-3
1.259e3 1.7819  8.560e-3 1.7819  7.270e-3 1.7816  5.540e-3 1.7801  2.490e-3
2.500e3 1.7830  6.210e-3 1.7830  4.910e-3 1.7822  3.420e-3 1.7789  1.550e-3
5.000e3 1.7843  4.490e-3 1.7843  3.300e-3 1.7831  2.100e-3 1.7779  9.610e-4
1.000e4 1.7852  3.240e-3 1.7852  2.220e-3 1.7838  1.290e-3 1.7773  5.950e-4
2.000e4 1.7862  2.340e-3 1.7861  1.490e-3 1.7839  7.930e-4 1.7772  3.690e-4
3.200e4 1.7866  1.880e-3 1.7863  1.140e-3 1.7840  5.700e-4 1.7772  2.670e-4
3.500e4 1.7868  1.740e-3 1.7864  1.060e-3 1.7840  5.350e-4 1.7772  2.510e-4
4.000e4 1.7869  1.500e-3 1.7865  9.480e-4 1.7840  4.820e-4 1.7772  2.290e-4
4.500e4 1.7870  1.320e-3 1.7865  8.500e-4 1.7840  4.380e-4 1.7772  2.110e-4
5.000e4 1.7870  1.160e-3 1.7865  7.660e-4 1.7840  4.080e-4 1.7772  1.960e-4
6.000e4 1.7871  8.800e-4 1.7865  6.300e-4 1.7839  3.500e-4 1.7772  1.730e-4
7.000e4 1.7871  6.950e-4 1.7865  5.200e-4 1.7838  3.200e-4 1.7772  1.550e-4
9.000e4 1.7872  4.640e-4 1.7865  3.840e-4 1.7837  2.550e-4 1.7772  1.310e-4
1.110e5 1.7872  3.400e-4 1.7865  2.960e-4 1.7837  2.120e-4 1.7772  1.130e-4
1.200e5 1.7872  3.110e-4 1.7865  2.700e-4 1.7837  2.000e-4 1.7772  1.060e-4
1.300e5 1.7872  2.940e-4 1.7865  2.520e-4 1.7837  1.860e-4 1.7772  9.900e-5
1.400e5 1.7872  2.790e-4 1.7865  2.440e-4 1.7837  1.750e-4 1.7772  9.300e-5
1.500e5 1.7872  2.700e-4 1.7865  2.360e-4 1.7837  1.660e-4 1.7772  8.730e-5
1.600e5 1.7872  2.640e-4 1.7865  2.300e-4 1.7837  1.560e-4 1.7772  8.300e-5
1.700e5 1.7872  2.580e-4 1.7865  2.280e-4 1.7837  1.490e-4 1.7772  7.870e-5
